Account,date,total_pnl,avg_pnl,trades_count,win_rate,avg_size_usd,avg_execution_price,avg_fee,coins_traded,sentiment_value,sentiment_class,fg_lag1,fg_lag3,fg_lag7,pnl_per_trade,pnl_per_usd
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,40314.808014,4.347078716195816,9274,0.32003450506793185,1157.8793541082598,27336.278931761375,0.17635924390769894,12,44.0,Fear,47.0,54.0,46.0,4.347078716195816,0.0037543451317030496
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-06-15,16807.35236,7.9279963962264155,2120,0.3136792452830189,1056.7010613207547,42950.063901886795,0.08051333495481132,4,,,,,,7.9279963962264155,0.007502591495760714
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,-14505.50575,-371.9360448717949,39,0.0,7877.326666666667,1490.161646666667,3.5447178274358975,4,50.0,Neutral,51.0,47.0,46.0,-371.9360448717949,-0.04721602399017707
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,67900.247545,239.93020333922263,283,0.5477031802120141,1684.2025795053005,526.3980534512368,0.10318326586572439,7,74.0,Greed,72.0,71.0,72.0,239.93020333922263,0.1424592304149642
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,19451.742477,204.75518396842105,95,0.8842105263157894,820.6771578947369,6.735411789473684,0.23676994736842108,4,44.0,Fear,47.0,54.0,46.0,204.75518396842105,0.24949540997787065
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.513222,110.13428011578948,190,0.5526315789473685,3387.3391578947367,113.47394368421052,1.0598014979473684,2,74.0,Greed,72.0,71.0,72.0,110.13428011578948,0.03251350838580893
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.751449,48.08654642307692,182,0.2692307692307692,3072.9576923076925,1.2387358461538462,1.0325128901098901,3,44.0,Fear,47.0,54.0,46.0,48.08654642307692,0.01564829432681368
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-06-15,38168.35486,199.83431863874344,191,0.39790575916230364,2484.57057591623,2.9230017696335078,0.8348148376963351,2,,,,,,199.83431863874344,0.08043012365026135
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.01524,6.1128044444444445,9,0.2222222222222222,1862.9299999999998,66184.87777777779,0.4065836666666667,2,74.0,Greed,72.0,71.0,72.0,6.1128044444444445,0.0032812850962969328
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.816512999998,41.34060288190476,525,0.3238095238095238,8441.060742857142,81714.02571809523,1.0249263932312382,4,44.0,Fear,47.0,54.0,46.0,41.34060288190476,0.004897560169423889
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335699999994,0.14909238446788106,1043,0.2751677852348993,11034.799511025887,10386.458516637584,2.6687425963566636,19,69.0,Greed,72.0,70.0,68.0,0.14909238446788106,1.3511109496725253e-05
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.8947559999997,0.8474950442132638,3076,0.21879063719115735,7639.724411573472,20908.866869118337,1.4828368381014303,36,84.0,Extreme Greed,81.0,75.0,80.0,0.8474950442132638,0.00011093267224788734
